"","Adipose tissues","Adrenal glands","B-cells","Brain","Colon","Esophagus","Heart","Liver","Lung","Neutrophils","Pancreas","Small intestines","T-cells","Placenta"
"C01",0,0.0449092695667865,0.0192824325027255,0.00794173178199373,0.000892845445913547,0.0479808430545317,0.1184173173422,0.0820321088341548,0.146192511455894,0.407947802072445,0.00274144579355351,0.116569878034142,0.00509181411566034,0
"C02",0.103126607304426,0.0503332545153641,0.0239683456223332,0.0382625963100277,0.0645802651475634,0.0147236661921688,0.115589290952182,0.0507244162340362,0.1364121017295,0.193271923426491,0.0759557950084703,0.125783916363235,0.00726782119420124,0
"C03",0,0.0166694723897154,0.136471032596035,0.0487475587591917,0.179097919333987,0.0470332822090557,0,0.0462400847867689,0.0100083214932859,0.396344106044122,0.0423143121475293,0,0.0258533669311125,0.0512205433091971
"C04",0.0880396258419385,0.0319195486683524,0.0487316379739353,0,0.0450148461304754,0.0112385435685753,0,0.0693014032389132,0.202033108330689,0.248348850181837,0.0293099465461714,0.209264939495918,0,0.0167975500231947
"C05",0.0123521798376818,0.00840986789626973,0.054541889082456,0.0350799888599036,0.00217982715818022,0.0850291097705859,0.139885474441542,0.0685098361967352,0.0518688715090814,0.43550350584848,0.0202994152631476,0.0863400341359364,0,0
"C06",0.234976028526774,0,0,0,0.0762235213779833,0.0147967829915372,0.00882671137929793,0.0197230739221704,0.23188567710247,0.357944064190304,0.003592204697291,0,0.0245997485119502,0.0274321873002214
"C07",0,0.0572330304059153,0.0538980052263206,0.0200128518730892,0.0045520611704415,0.0662929982887793,0.102959784672805,0.0573519702372839,0.119535405710626,0.435173828939888,0,0.0829900634748514,0,0
"C08",0.0542971882213492,0,0.0552445908672707,0.0123999660279186,0.0376914435894758,0.0760942460894602,0.0892039525511088,0.0495445024110142,0.139619843844071,0.218482325726591,0.0327818503420454,0.234640090329696,0,0
"C09",0.054975397637185,0.022582758769027,0.0961706597104257,0,0.0202459454898063,0.00430653384162231,0.12220383593176,0.0611148541225005,0.198186638999379,0.290200519063708,0.0273664649729452,0.0846477407839642,0.0179986506776778,0
"C10",0,0.0652983945666475,0,0,0,0.00428899066549515,0.0917496269820244,0,0.114929140576948,0.489370406051411,0,0.210757534618446,0,0.0236059065390267
"C11",0.0782535333078553,0.0121363041483064,0.0175870087243674,0.0176995686243786,0.0232786984955996,0.0690942213320342,0,0.0655129620619872,0.0632394829940115,0.402839013679944,0.0192178282080648,0.21697438295612,0,0.0141669954673307
"C12",0,0.0486415632287294,0.0478515208451288,0.0220286452609881,0.0128832455695294,0.0748591342080637,0.164172386498786,0.15358113946079,0.0543254311240668,0.298157246469521,0.0238811655957376,0.0996185217386594,0,0
"C13",0.0119875865718358,0.0506376301385835,0.0381411619540793,0.00833859297303821,0.0273765261925608,0.0456720461637899,0,0.189701927699664,0.200379625523531,0.295407815781484,0.0153144940775616,0.0844589423563376,0.0325836505675345,0
"C14",0,0.0624486455379894,0.000971823384610374,0.0126403638296591,0,0,0.104473495964239,0.046273024104801,0.110596923103387,0.464978437594501,0.00973365132335628,0.15722178115151,0.0223965422864077,0.00826531171953935
"C15",0,0.0653948566341332,0.0752367921610783,0,0.000537713417783363,0,0.119042219607931,0.197967769859306,0.198003236697093,0.270948023662026,0.0358851363563585,0.0369842516042908,0,0
"C16",0.180431665155532,0.0306308994394976,0,0.0257416171650662,0.016632589518593,0,0.00355547885249435,0.0154771955087659,0.093888204775008,0.37416914779964,0.0260341334398851,0.202251173093487,0.0311878952520312,0
"C17",0,0.0858019377055639,0.00584542902783537,0.0417921512966867,0,0.0347809608208132,0.0700201133761555,0.0284719601531329,0.0569107739871491,0.575554881632138,0,0.100821792000526,0,0
"C18",0,0.0305651382094081,0.0227016528026478,0.00278876700153332,0.0161687114154055,0,0.0832610275817678,0.0362632784198686,0.105581218471715,0.535522364654683,0.0246837945627607,0.122033712024481,0.0204303348557298,0
"C26",0,0,0.0272067999234186,0.040289197295918,0,0.0228054246313155,0.100791886230524,0.169974827256864,0.0593431709306298,0.36969794420248,0.00670383078757114,0.203186918741279,0,0
"C30",0,0.0669612379345416,0.0225240895827638,0.0295518494154145,0.055533602497486,0.029492968320308,0,0.319455762825941,0,0.39219667275426,0.0293613209389278,0.0419024014726837,0.0130200942576736,0
"C34",0,0.0308461737469455,0.0925736483061497,0.0402289296417394,0.0159233671224851,0.00915950696116346,0.0154185425103134,0.049002605695877,0.178609573148979,0.364267902726998,0.0327864013254699,0.150789656741849,0.0203936920720299,0
"C28",0.0983350649155763,0.0533802001084876,0.0982839515578565,0.0307767009094049,0.043485095020383,0,0.0211439632102852,0.0396220208101271,0,0.423646043912184,0.0316579827207397,0.0668891608756467,0.0927798159593096,0
"C49",0,0.0344795905856406,0.0946549992675574,0,0.014614645783103,0.0917271924732235,0.10606646855425,0.0612059437052372,0.163614058966321,0.409088642493055,0.0126415875325516,0.000274862463381395,0.0116320081756785,0
"C19",0.0350585185616704,0.0646076484180309,0.0185691486101641,0,0.0202495704143934,0.0385619264407156,0.083861511869804,0.0612553549782655,0.0481689473659889,0.533348373240251,0.0243314608851207,0.0719875392155953,0,0
"C38",0.160430408035402,0.0338901853632147,0.0648528090032189,0,0.0308442231546156,0,0.0313770216492522,0.03745075905702,0.025342499964309,0.490623458524157,0,0.0664049546336387,0.0197507638789318,0.0390329167362403
